# Residuals                 
# Time                      	p                           	Ux                          	Uy                          	e                           	k                           	omega                       
1.34685e-08                 	1.42881021340170277869e-09	1.71366624796998615784e-10	1.19004802966870646483e-09	6.68462381857391878498e-09	6.02178110992174725499e-07	2.02058105305152346205e-11
1.35907e-08                 	1.43080471847714146365e-09	1.57416872289850718458e-10	1.15273558272035286074e-09	6.67551327637301109226e-09	6.03136966042478853143e-07	2.02361054071243031150e-11
1.37132e-08                 	1.43254022789056876119e-09	1.56003339828080455191e-10	1.14084998046722196612e-09	6.64176962524490315038e-09	6.04067285727874026575e-07	2.02655032155072456796e-11
1.38358e-08                 	1.43424425912647199794e-09	1.33248257368394295616e-10	1.08227395011481560990e-09	6.64501349997021515892e-09	6.04992656467620174842e-07	2.02947842980803053887e-11
1.39586e-08                 	1.43647419005955096082e-09	1.32123792460363308264e-10	1.06958407650293816066e-09	6.57933984883654617240e-09	6.05910245849475041816e-07	2.03238535537607480889e-11
1.40816e-08                 	1.44380616953371963312e-09	3.20003838114455830045e-10	1.19174398869942501060e-09	6.62158836603712539896e-09	6.06815923856614912384e-07	2.03525719355937896327e-11
1.42047e-08                 	1.45054322218314357671e-09	2.54311217976866644269e-10	8.92680895056931862248e-10	8.24845701023000127951e-09	6.07713598913163888877e-07	2.03810687404050213454e-11
1.43277e-08                 	1.45109499116145453352e-09	2.48316456870019932586e-10	8.34987509500763517191e-10	1.04513008379763701542e-08	6.06463476697112564380e-07	2.03375277682364248457e-11
1.44286e-08                 	1.19523766013231727775e-09	2.00631795628807416746e-10	6.52318807812101024793e-10	8.64090991774399407425e-09	4.97971270759128826933e-07	1.66981242341048092684e-11
1.45177e-08                 	1.05494927151670598069e-09	1.76027810239713840554e-10	5.64854856155974447703e-10	6.60486841236070430775e-09	4.39396113739426740826e-07	1.47324028472260527842e-11
1.46111e-08                 	1.10358065442227260691e-09	1.88087733562543378477e-10	5.99879226007106314764e-10	6.08125275541350452187e-09	4.60894824289587563619e-07	1.54525072925541357508e-11
1.47175e-08                 	1.25397558917362655692e-09	2.09396859543957277773e-10	6.74978409168912126963e-10	6.87089458564486389825e-09	5.25079930014848485886e-07	1.76048092197291137986e-11
1.48327e-08                 	1.35851609357048885609e-09	2.29143698113783965300e-10	9.73837334785838842791e-10	6.92681246599788598830e-09	5.68170981422979133673e-07	1.90489763234623853218e-11
1.4957e-08                  	1.46785933078998628032e-09	2.89693862504973837333e-10	1.13205675758910182508e-09	7.62397470323979632051e-09	6.13512336411139200758e-07	2.05676923464859628020e-11
1.50816e-08                 	1.46788721561474252218e-09	3.02989351050127144087e-10	1.20848287614426813494e-09	8.41524350006025459252e-09	6.14862954637266200726e-07	2.06093300446758582678e-11
1.52065e-08                 	1.47377837894630390986e-09	3.67718858951646528776e-10	1.35633766595975939674e-09	7.36756670953755976794e-09	6.16209710659277179431e-07	2.06510532999016123852e-11
1.53316e-08                 	1.47661583632211851798e-09	2.87727422193969015941e-10	1.04597279015200527140e-09	8.86414031868086750776e-09	6.17373686002677529784e-07	2.06896849297441360382e-11
1.54476e-08                 	1.37516848886439208112e-09	3.13422908040224436382e-10	1.12767393631998767757e-09	9.74576441216006228954e-09	5.72337307110993635977e-07	1.91779763288146752019e-11
1.55417e-08                 	1.12113355654422755562e-09	2.42725237587165377218e-10	8.67384521554656111091e-10	1.02097450937631954067e-08	4.64639997367152253601e-07	1.55664044109002917790e-11
1.56444e-08                 	1.22488322725076755344e-09	2.54101457746181730968e-10	8.84272822488802247095e-10	1.06713728043305781529e-08	5.06425109770615284321e-07	1.69666428738333123682e-11
1.57291e-08                 	1.01594123134204719920e-09	2.41976562119699542397e-10	1.07299263810821375168e-09	7.49674660292733215458e-09	4.18004917528472332607e-07	1.40021881148379753687e-11
1.58021e-08                 	8.75267821612726252938e-10	1.33546696735627977353e-10	7.49378113013992940336e-10	5.98020786142537483316e-09	3.60399420002852209676e-07	1.20714479131771671181e-11
1.58817e-08                 	9.53131617445940866768e-10	1.52097970364488866335e-10	8.73557999561698100908e-10	5.67354887304315926642e-09	3.92929182098822602025e-07	1.31612555177477067468e-11
1.59662e-08                 	1.00890572249611670212e-09	6.58484230977115741506e-11	7.62214317369549531613e-10	5.96282960607477352612e-09	4.17019400605840850165e-07	1.39678662439301266445e-11
1.60509e-08                 	1.01130030233566885198e-09	4.92147793518099924220e-11	5.72311224777340597306e-10	5.75720681316100233592e-09	4.17912458234899425782e-07	1.39966454498339232356e-11
1.61389e-08                 	1.04887320377496642612e-09	7.45692512784391478682e-11	6.65746698519616348045e-10	6.03782859683668514032e-09	4.34379862949959869561e-07	1.45470123255600505087e-11
1.62265e-08                 	1.04558646586572968494e-09	4.56152644182086813501e-11	5.16183448719476366744e-10	6.07016640668367066378e-09	4.32685506398373460742e-07	1.44894007704785730943e-11
1.63178e-08                 	1.08627055652107482563e-09	4.49721047602728619562e-11	4.95139508932885204812e-10	6.36010338846888495753e-09	4.50657317243276751481e-07	1.50903054001571690796e-11
