# Force coefficients        
# liftDir                   : (-2.39732967011547337677e-01 9.70838866407726985841e-01 0.00000000000000000000e+00)
# dragDir                   : (9.70838866407726985841e-01 2.39732967011547337677e-01 0.00000000000000000000e+00)
# pitchAxis                 : (0.00000000000000000000e+00 0.00000000000000000000e+00 1.00000000000000000000e+00)
# magUInf                   : 6.18022000000000048203e+02
# lRef                      : 1.00000000000000000000e+00
# Aref                      : 1.00000000000000000000e+00
# CofR                      : (0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# Time                      	Cm                          	Cd                          	Cl                          	Cl(f)                       	Cl(r)                       
5.29174e-40                 	7.43748682788897889736e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027428571204e-02	-5.78867491027577341089e-02
6.35008e-40                 	7.47679025708405820540e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428501815e-02	-5.78867491027578104368e-02
7.6201e-40                  	7.43867741810007040184e-15	4.68844202609960347683e-01	-1.15773498205500813274e-01	-5.78867491027429681427e-02	-5.78867491027578451313e-02
9.14412e-40                 	7.43777982469873951241e-15	4.68844202609960347683e-01	-1.15773498205500813274e-01	-5.78867491027429681427e-02	-5.78867491027578451313e-02
1.09729e-39                 	7.43867741810007040184e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428918149e-02	-5.78867491027577688034e-02
1.31675e-39                 	7.43629623767788581516e-15	4.68844202609960347683e-01	-1.15773498205500743885e-01	-5.78867491027429334483e-02	-5.78867491027578104368e-02
1.5801e-39                  	7.43509634598076978853e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428918149e-02	-5.78867491027577688034e-02
1.89613e-39                 	7.43747287565994132527e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428918149e-02	-5.78867491027577688034e-02
2.27535e-39                 	7.43748217714596584742e-15	4.68844202609960181150e-01	-1.15773498205500632863e-01	-5.78867491027428779371e-02	-5.78867491027577549256e-02
2.73042e-39                 	7.43779377692777550678e-15	4.68844202609960347683e-01	-1.15773498205500743885e-01	-5.78867491027429334483e-02	-5.78867491027578104368e-02
3.2765e-39                  	7.43779377692777550678e-15	4.68844202609960236661e-01	-1.15773498205500730007e-01	-5.78867491027429265094e-02	-5.78867491027578034979e-02
3.93181e-39                 	7.43778447544175098462e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027429126316e-02	-5.78867491027577896201e-02
4.71817e-39                 	7.43927271320561615408e-15	4.68844202609960236661e-01	-1.15773498205500646741e-01	-5.78867491027428848760e-02	-5.78867491027577618645e-02
5.6618e-39                  	7.44048190638875670288e-15	4.68844202609960181150e-01	-1.15773498205500632863e-01	-5.78867491027428779371e-02	-5.78867491027577549256e-02
6.79416e-39                 	7.43927271320561615408e-15	4.68844202609960236661e-01	-1.15773498205500646741e-01	-5.78867491027428848760e-02	-5.78867491027577618645e-02
8.15299e-39                 	7.44165854437081379070e-15	4.68844202609960236661e-01	-1.15773498205500730007e-01	-5.78867491027429265094e-02	-5.78867491027578034979e-02
9.78359e-39                 	7.44134229384599108141e-15	4.68844202609960236661e-01	-1.15773498205500730007e-01	-5.78867491027429265094e-02	-5.78867491027578034979e-02
1.17403e-38                 	7.43896576416681954467e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027429126316e-02	-5.78867491027577896201e-02
1.40884e-38                 	7.43955175778634077475e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027429126316e-02	-5.78867491027577896201e-02
1.6906e-38                  	7.47885983772443471045e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027428709982e-02	-5.78867491027578312535e-02
2.02873e-38                 	7.44076095096948132354e-15	4.68844202609960236661e-01	-1.15773498205500799396e-01	-5.78867491027429612038e-02	-5.78867491027578381924e-02
2.43447e-38                 	7.43984940533911443973e-15	4.68844202609960236661e-01	-1.15773498205500730007e-01	-5.78867491027429265094e-02	-5.78867491027578034979e-02
2.92136e-38                 	7.43986800831116348405e-15	4.68844202609960236661e-01	-1.15773498205500730007e-01	-5.78867491027429265094e-02	-5.78867491027578034979e-02
3.50564e-38                 	7.44016565586393557130e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027429126316e-02	-5.78867491027577896201e-02
4.20676e-38                 	7.44137484904707612010e-15	4.68844202609960125638e-01	-1.15773498205500688374e-01	-5.78867491027429056927e-02	-5.78867491027577826812e-02
5.04812e-38                 	7.44106324926526646074e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027429126316e-02	-5.78867491027577896201e-02
6.05774e-38                 	7.48093871985083415993e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027428709982e-02	-5.78867491027578312535e-02
7.26929e-38                 	7.44164924288478926855e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429542649e-02	-5.78867491027578312535e-02
8.72315e-38                 	7.47945048208696741275e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429126316e-02	-5.78867491027578728868e-02
1.04678e-37                 	7.48006438016456220930e-15	4.68844202609960125638e-01	-1.15773498205500688374e-01	-5.78867491027428640593e-02	-5.78867491027578243146e-02
1.25613e-37                 	7.44136554756105159794e-15	4.68844202609960125638e-01	-1.15773498205500688374e-01	-5.78867491027429056927e-02	-5.78867491027577826812e-02
1.50736e-37                 	7.48123636740360624719e-15	4.68844202609960181150e-01	-1.15773498205500785518e-01	-5.78867491027429126316e-02	-5.78867491027578728868e-02
