# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0.0034          	9.21926986e-03	5.57397655e-03	7.98742361e-03	8.52138580e-03	8.79739760e-04	1.57274269e-04
0.00342         	9.17568722e-03	5.54636290e-03	7.96513082e-03	8.49321281e-03	8.76592350e-04	1.57234297e-04
0.00344         	9.13030381e-03	5.52338013e-03	7.94706371e-03	8.46078106e-03	8.72817335e-04	1.56980501e-04
0.00346         	9.08392802e-03	5.49802025e-03	7.93090035e-03	8.42738392e-03	8.69580315e-04	1.56786945e-04
0.00348         	9.03474446e-03	5.47102865e-03	7.91552437e-03	8.39294741e-03	8.66076006e-04	1.56674798e-04
0.0035          	8.98751328e-03	5.44828413e-03	7.89398300e-03	8.35461457e-03	8.62972563e-04	1.56631549e-04
0.00352         	8.94600366e-03	5.42456803e-03	7.87128213e-03	8.32326190e-03	8.60273195e-04	1.56627252e-04
0.00354         	8.90318020e-03	5.39970519e-03	7.84875187e-03	8.29385530e-03	8.57090648e-04	1.56466709e-04
0.00356         	8.86631862e-03	5.37907435e-03	7.82922464e-03	8.26166193e-03	8.53959648e-04	1.56344833e-04
0.00358         	8.83001916e-03	5.36207207e-03	7.81028680e-03	8.23219546e-03	8.51278097e-04	1.56243192e-04
0.0036          	8.79344487e-03	5.34256988e-03	7.79456354e-03	8.20254978e-03	8.48269985e-04	1.56187110e-04
0.00362         	8.75499987e-03	5.32233951e-03	7.77832978e-03	8.17236610e-03	8.45975131e-04	1.56207973e-04
0.00364         	8.71150473e-03	5.29773402e-03	7.75778685e-03	8.14348068e-03	8.43592596e-04	1.56097385e-04
0.00366         	8.67403853e-03	5.27155134e-03	7.74337390e-03	8.11390412e-03	8.41463026e-04	1.55973980e-04
0.00368         	8.63956761e-03	5.25241874e-03	7.72252126e-03	8.08701588e-03	8.39611418e-04	1.55923972e-04
0.0037          	8.60839709e-03	5.23449795e-03	7.69868536e-03	8.06350427e-03	8.38110243e-04	1.55959316e-04
