 Part 1.

  A specification of both the velocity and turbulence fields at a
distance 0.05 diameters downstream of the expansion.

  The data has been specified at many points so that linear interpolation
will give accurate values at any radial position. The data has been split
into two tables, the first containing data suitable for a two equation
turbulence model codes, and the second the Reynolds stresses.

 The (FORTRAN) format used to read the first set of data should
be: 5E13.3.

    Radial       Axial        Radial       K            Turbulent
    position     velocity     velocity                  viscosity
    3.070E-01   -7.660E-03   -2.058E-02    4.581E-03    2.782E-04
    3.080E-01   -7.543E-03   -2.032E-02    4.582E-03    2.849E-04
    3.090E-01   -7.429E-03   -2.006E-02    4.583E-03    2.916E-04
    3.100E-01   -7.318E-03   -1.980E-02    4.584E-03    2.983E-04
    3.110E-01   -7.210E-03   -1.955E-02    4.584E-03    3.049E-04
    3.120E-01   -7.105E-03   -1.929E-02    4.583E-03    3.115E-04
    3.130E-01   -7.003E-03   -1.904E-02    4.582E-03    3.181E-04
    3.140E-01   -6.904E-03   -1.878E-02    4.581E-03    3.247E-04
    3.150E-01   -6.808E-03   -1.853E-02    4.579E-03    3.312E-04
    3.160E-01   -6.715E-03   -1.828E-02    4.577E-03    3.377E-04
    3.170E-01   -6.625E-03   -1.803E-02    4.574E-03    3.442E-04
    3.180E-01   -6.538E-03   -1.779E-02    4.572E-03    3.507E-04
    3.190E-01   -6.454E-03   -1.754E-02    4.569E-03    3.572E-04
    3.200E-01   -6.372E-03   -1.730E-02    4.567E-03    3.636E-04
    3.210E-01   -6.294E-03   -1.705E-02    4.565E-03    3.701E-04
    3.220E-01   -6.219E-03   -1.681E-02    4.563E-03    3.765E-04
    3.230E-01   -6.147E-03   -1.657E-02    4.563E-03    3.830E-04
    3.240E-01   -6.077E-03   -1.633E-02    4.563E-03    3.896E-04
    3.250E-01   -6.011E-03   -1.609E-02    4.565E-03    3.961E-04
    3.260E-01   -5.947E-03   -1.586E-02    4.566E-03    4.027E-04
    3.270E-01   -5.887E-03   -1.562E-02    4.568E-03    4.093E-04
    3.280E-01   -5.829E-03   -1.539E-02    4.570E-03    4.158E-04
    3.290E-01   -5.775E-03   -1.516E-02    4.571E-03    4.224E-04
    3.300E-01   -5.723E-03   -1.493E-02    4.573E-03    4.289E-04
    3.310E-01   -5.675E-03   -1.470E-02    4.575E-03    4.355E-04
    3.320E-01   -5.629E-03   -1.447E-02    4.576E-03    4.420E-04
    3.330E-01   -5.586E-03   -1.424E-02    4.578E-03    4.485E-04
    3.340E-01   -5.547E-03   -1.402E-02    4.579E-03    4.550E-04
    3.350E-01   -5.510E-03   -1.380E-02    4.580E-03    4.615E-04
    3.360E-01   -5.476E-03   -1.357E-02    4.582E-03    4.680E-04
    3.370E-01   -5.245E-03   -1.335E-02    4.583E-03    4.744E-04
    3.380E-01   -4.917E-03   -1.313E-02    4.584E-03    4.809E-04
    3.390E-01   -4.692E-03   -1.292E-02    4.585E-03    4.873E-04
    3.400E-01   -4.370E-03   -1.270E-02    4.587E-03    4.938E-04
    3.410E-01   -4.152E-03   -1.248E-02    4.588E-03    5.003E-04
    3.420E-01   -3.836E-03   -1.227E-02    4.590E-03    5.067E-04
    3.430E-01   -3.622E-03   -1.206E-02    4.591E-03    5.132E-04
    3.440E-01   -3.312E-03   -1.185E-02    4.593E-03    5.196E-04
    3.450E-01   -3.105E-03   -1.164E-02    4.593E-03    5.260E-04
    3.460E-01   -2.801E-03   -1.143E-02    4.593E-03    5.323E-04
    3.470E-01   -2.300E-03   -1.122E-02    4.590E-03    5.385E-04
    3.480E-01   -2.102E-03   -1.102E-02    4.587E-03    5.446E-04
    3.490E-01   -1.807E-03   -1.081E-02    4.583E-03    5.507E-04
    3.500E-01   -1.614E-03   -1.061E-02    4.578E-03    5.567E-04
    3.510E-01   -1.323E-03   -1.041E-02    4.570E-03    5.608E-04
    3.520E-01   -1.132E-03   -1.021E-02    4.562E-03    5.649E-04
    3.530E-01   -8.341E-04   -1.001E-02    4.551E-03    5.688E-04
    3.540E-01   -3.349E-04   -9.814E-03    4.543E-03    5.728E-04
    3.550E-01    4.470E-05   -9.619E-03    4.536E-03    5.767E-04
    3.560E-01    1.212E-04   -9.425E-03    4.529E-03    5.806E-04
